url,status_code,total_cookies,sum_http_only,sum_secure,sum_same_site,sum_set_path,http_only,secure,same_site,path,same_site_none,same_site_lax,same_site_strict
addthis.com,405,0,0,0,0,0,[],[],[],,0,0,0
adobe.com,200,0,0,0,0,0,[],[],[],,0,0,0
alexa.com,200,0,0,0,0,0,[],[],[],,0,0,0
amazon.co.jp,405,1,0,0,0,1,[{'Cookie_1': 'N'}],[{'Cookie_1': 'No'}],[{'Cookie_1': 'N_A'}],path=/;,0,0,0
amazon.es,503,0,0,0,0,0,[],[],[],,0,0,0
apache.org,200,0,0,0,0,0,[],[],[],,0,0,0
apnews.com,200,0,0,0,0,0,[],[],[],,0,0,0
asahi.com,200,0,0,0,0,0,[],[],[],,0,0,0
berkeley.edu,200,0,0,0,0,0,[],[],[],,0,0,0
biblegateway.com,200,0,0,0,0,0,[],[],[],,0,0,0
bloomberg.com,200,1,0,0,0,1,[{'Cookie_1': 'N'}],[{'Cookie_1': 'No'}],[{'Cookie_1': 'N_A'}],path=/;,0,0,0
bustle.com,200,0,0,0,0,0,[],[],[],,0,0,0
change.org,200,6,5,5,5,6,"[{'Cookie_1': 'Y'}, {'Cookie_2': 'Y'}, {'Cookie_3': 'Y'}, {'Cookie_4': 'N'}, {'Cookie_5': 'Y'}, {'Cookie_6': 'Y'}]","[{'Cookie_1': 'No'}, {'Cookie_2': 'Yes'}, {'Cookie_3': 'Yes'}, {'Cookie_4': 'Yes'}, {'Cookie_5': 'Yes'}, {'Cookie_6': 'Yes'}]","[{'Cookie_1': 'N_A'}, {'Cookie_2': ' None'}, {'Cookie_3': ' Lax'}, {'Cookie_4': ' Strict'}, {'Cookie_5': ' None'}, {'Cookie_6': ' None'}]",path=/;,3,1,1
channel4.com,200,2,0,1,0,2,"[{'Cookie_1': 'N'}, {'Cookie_2': 'N'}]","[{'Cookie_1': 'Yes'}, {'Cookie_2': 'No'}]","[{'Cookie_1': 'N_A'}, {'Cookie_2': 'N_A'}]",Path=/;,0,0,0
cloudflare.com,200,2,2,1,2,2,"[{'Cookie_1': 'Y'}, {'Cookie_2': 'Y'}]","[{'Cookie_1': 'No'}, {'Cookie_2': 'Yes'}]","[{'Cookie_1': ' None'}, {'Cookie_2': ' None'}]",path=/;,2,0,0
cointernet.com.co,200,0,0,0,0,0,[],[],[],,0,0,0
doubleclick.net,200,0,0,0,0,0,[],[],[],,0,0,0
dreamstime.com,403,1,0,0,0,1,[{'Cookie_1': 'N'}],[{'Cookie_1': 'No'}],[{'Cookie_1': 'N_A'}],Path=/,0,0,0
ea.com,200,12,0,3,0,12,"[{'Cookie_1': 'N'}, {'Cookie_2': 'N'}, {'Cookie_3': 'N'}, {'Cookie_4': 'N'}, {'Cookie_5': 'N'}, {'Cookie_6': 'N'}, {'Cookie_7': 'N'}, {'Cookie_8': 'N'}, {'Cookie_9': 'N'}, {'Cookie_10': 'N'}, {'Cookie_11': 'N'}, {'Cookie_12': 'N'}]","[{'Cookie_1': 'No'}, {'Cookie_2': 'No'}, {'Cookie_3': 'No'}, {'Cookie_4': 'Yes'}, {'Cookie_5': 'No'}, {'Cookie_6': 'No'}, {'Cookie_7': 'No'}, {'Cookie_8': 'Yes'}, {'Cookie_9': 'No'}, {'Cookie_10': 'No'}, {'Cookie_11': 'No'}, {'Cookie_12': 'Yes'}]","[{'Cookie_1': 'N_A'}, {'Cookie_2': 'N_A'}, {'Cookie_3': 'N_A'}, {'Cookie_4': 'N_A'}, {'Cookie_5': 'N_A'}, {'Cookie_6': 'N_A'}, {'Cookie_7': 'N_A'}, {'Cookie_8': 'N_A'}, {'Cookie_9': 'N_A'}, {'Cookie_10': 'N_A'}, {'Cookie_11': 'N_A'}, {'Cookie_12': 'N_A'}]",path=/;,0,0,0
economist.com,200,5,4,2,3,5,"[{'Cookie_1': 'Y'}, {'Cookie_2': 'Y'}, {'Cookie_3': 'N'}, {'Cookie_4': 'Y'}, {'Cookie_5': 'Y'}]","[{'Cookie_1': 'No'}, {'Cookie_2': 'No'}, {'Cookie_3': 'No'}, {'Cookie_4': 'Yes'}, {'Cookie_5': 'Yes'}]","[{'Cookie_1': ' None'}, {'Cookie_2': 'N_A'}, {'Cookie_3': 'N_A'}, {'Cookie_4': ' None'}, {'Cookie_5': ' None'}]",path=/;,3,0,0
estadao.com.br,200,0,0,0,0,0,[],[],[],,0,0,0
fifa.com,401,0,0,0,0,0,[],[],[],,0,0,0
focus.de,200,0,0,0,0,0,[],[],[],,0,0,0
frontiersin.org,200,0,0,0,0,0,[],[],[],,0,0,0
ftc.gov,200,0,0,0,0,0,[],[],[],,0,0,0
goodreads.com,200,3,1,0,0,3,"[{'Cookie_1': 'N'}, {'Cookie_2': 'N'}, {'Cookie_3': 'Y'}]","[{'Cookie_1': 'No'}, {'Cookie_2': 'No'}, {'Cookie_3': 'No'}]","[{'Cookie_1': 'N_A'}, {'Cookie_2': 'N_A'}, {'Cookie_3': 'N_A'}]",path=/;,0,0,0
google.co.id,200,3,2,2,1,3,"[{'Cookie_1': 'N'}, {'Cookie_2': 'Y'}, {'Cookie_3': 'Y'}]","[{'Cookie_1': 'Yes'}, {'Cookie_2': 'Yes'}, {'Cookie_3': 'No'}]","[{'Cookie_1': 'N_A'}, {'Cookie_2': ' lax'}, {'Cookie_3': 'N_A'}]",path=/;,0,1,0
google.co.th,200,3,2,2,1,3,"[{'Cookie_1': 'N'}, {'Cookie_2': 'Y'}, {'Cookie_3': 'Y'}]","[{'Cookie_1': 'Yes'}, {'Cookie_2': 'Yes'}, {'Cookie_3': 'No'}]","[{'Cookie_1': 'N_A'}, {'Cookie_2': ' lax'}, {'Cookie_3': 'N_A'}]",path=/;,0,1,0
google.fr,200,3,2,2,1,3,"[{'Cookie_1': 'N'}, {'Cookie_2': 'Y'}, {'Cookie_3': 'Y'}]","[{'Cookie_1': 'Yes'}, {'Cookie_2': 'Yes'}, {'Cookie_3': 'No'}]","[{'Cookie_1': 'N_A'}, {'Cookie_2': ' lax'}, {'Cookie_3': 'N_A'}]",path=/;,0,1,0
